/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 0/1, minibatch 14/14, validation error 93.000000 %
epoch 164/200, minibatch 2/2, validation error nan %
epoch 165/200, minibatch 2/2, validation error nan %
epoch 166/200, minibatch 2/2, validation error nan %
epoch 167/200, minibatch 2/2, validation error nan %
epoch 168/200, minibatch 2/2, validation error nan %
epoch 169/200, minibatch 2/2, validation error nan %
epoch 170/200, minibatch 2/2, validation error nan %
epoch 171/200, minibatch 2/2, validation error nan %
epoch 172/200, minibatch 2/2, validation error nan %
epoch 173/200, minibatch 2/2, validation error nan %
epoch 174/200, minibatch 2/2, validation error nan %
epoch 175/200, minibatch 2/2, validation error nan %
epoch 176/200, minibatch 2/2, validation error nan %
epoch 177/200, minibatch 2/2, validation error nan %
epoch 178/200, minibatch 2/2, validation error nan %
epoch 179/200, minibatch 2/2, validation error nan %
epoch 180/200, minibatch 2/2, validation error nan %
epoch 181/200, minibatch 2/2, validation error nan %
epoch 182/200, minibatch 2/2, validation error nan %
epoch 183/200, minibatch 2/2, validation error nan %
epoch 184/200, minibatch 2/2, validation error nan %
epoch 185/200, minibatch 2/2, validation error nan %
epoch 186/200, minibatch 2/2, validation error nan %
epoch 187/200, minibatch 2/2, validation error nan %
epoch 188/200, minibatch 2/2, validation error nan %
epoch 189/200, minibatch 2/2, validation error nan %
epoch 190/200, minibatch 2/2, validation error nan %
epoch 191/200, minibatch 2/2, validation error nan %
epoch 192/200, minibatch 2/2, validation error nan %
epoch 193/200, minibatch 2/2, validation error nan %
epoch 194/200, minibatch 2/2, validation error nan %
epoch 195/200, minibatch 2/2, validation error nan %
epoch 196/200, minibatch 2/2, validation error nan %
epoch 197/200, minibatch 2/2, validation error nan %
epoch 198/200, minibatch 2/2, validation error nan %
epoch 199/200, minibatch 2/2, validation error nan %
Score for Crustaceans: 10.9828920598
Training for PelagicTunicates
epoch 0/200, minibatch 24/24, validation error 86.833333 %
epoch 1/200, minibatch 24/24, validation error 62.333333 %
epoch 2/200, minibatch 24/24, validation error 62.333333 %
epoch 3/200, minibatch 24/24, validation error 68.000000 %
epoch 4/200, minibatch 24/24, validation error 62.333333 %
epoch 5/200, minibatch 24/24, validation error 68.000000 %
epoch 6/200, minibatch 24/24, validation error 62.333333 %
epoch 7/200, minibatch 24/24, validation error 62.333333 %
epoch 8/200, minibatch 24/24, validation error 62.333333 %
epoch 9/200, minibatch 24/24, validation error 86.833333 %
epoch 10/200, minibatch 24/24, validation error 96.666667 %
epoch 11/200, minibatch 24/24, validation error 62.333333 %
epoch 12/200, minibatch 24/24, validation error 62.333333 %
epoch 13/200, minibatch 24/24, validation error 68.000000 %
epoch 14/200, minibatch 24/24, validation error 62.333333 %
epoch 15/200, minibatch 24/24, validation error 68.000000 %
epoch 16/200, minibatch 24/24, validation error 62.333333 %
epoch 17/200, minibatch 24/24, validation error 97.333333 %
epoch 18/200, minibatch 24/24, validation error 62.333333 %
epoch 19/200, minibatch 24/24, validation error 62.333333 %
epoch 20/200, minibatch 24/24, validation error 96.666667 %
epoch 21/200, minibatch 24/24, validation error 86.833333 %
epoch 22/200, minibatch 24/24, validation error 62.333333 %
epoch 23/200, minibatch 24/24, validation error 62.333333 %
epoch 24/200, minibatch 24/24, validation error 86.833333 %
epoch 25/200, minibatch 24/24, validation error 62.333333 %
epoch 26/200, minibatch 24/24, validation error 68.000000 %
epoch 27/200, minibatch 24/24, validation error 68.000000 %
epoch 28/200, minibatch 24/24, validation error 68.000000 %
epoch 29/200, minibatch 24/24, validation error 68.000000 %
