/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 98/200, minibatch 14/14, validation error 96.666667 %
epoch 99/200, minibatch 14/14, validation error 99.000000 %
epoch 100/200, minibatch 14/14, validation error 76.666667 %
epoch 101/200, minibatch 14/14, validation error 76.666667 %
epoch 102/200, minibatch 14/14, validation error 76.666667 %
epoch 103/200, minibatch 14/14, validation error 62.666667 %
epoch 104/200, minibatch 14/14, validation error 88.333333 %
epoch 105/200, minibatch 14/14, validation error 76.666667 %
epoch 106/200, minibatch 14/14, validation error 62.666667 %
epoch 107/200, minibatch 14/14, validation error 62.666667 %
epoch 108/200, minibatch 14/14, validation error 76.666667 %
epoch 109/200, minibatch 14/14, validation error 62.666667 %
epoch 110/200, minibatch 14/14, validation error 76.666667 %
epoch 111/200, minibatch 14/14, validation error 62.666667 %
epoch 112/200, minibatch 14/14, validation error 62.666667 %
epoch 113/200, minibatch 14/14, validation error 88.666667 %
epoch 114/200, minibatch 14/14, validation error 62.666667 %
epoch 115/200, minibatch 14/14, validation error 76.666667 %
epoch 116/200, minibatch 14/14, validation error 92.000000 %
epoch 117/200, minibatch 14/14, validation error 62.666667 %
epoch 118/200, minibatch 14/14, validation error 92.000000 %
epoch 119/200, minibatch 14/14, validation error 76.666667 %
epoch 120/200, minibatch 14/14, validation error 76.666667 %
epoch 121/200, minibatch 14/14, validation error 62.666667 %
epoch 122/200, minibatch 14/14, validation error 62.666667 %
epoch 123/200, minibatch 14/14, validation error 62.666667 %
epoch 124/200, minibatch 14/14, validation error 96.666667 %
epoch 125/200, minibatch 14/14, validation error 62.666667 %
epoch 126/200, minibatch 14/14, validation error 92.000000 %
epoch 127/200, minibatch 14/14, validation error 88.333333 %
epoch 128/200, minibatch 14/14, validation error 62.666667 %
epoch 129/200, minibatch 14/14, validation error 76.666667 %
epoch 130/200, minibatch 14/14, validation error 76.666667 %
epoch 131/200, minibatch 14/14, validation error 62.666667 %
epoch 132/200, minibatch 14/14, validation error 62.666667 %
epoch 133/200, minibatch 14/14, validation error 62.666667 %
epoch 134/200, minibatch 14/14, validation error 88.666667 %
epoch 135/200, minibatch 14/14, validation error 62.666667 %
epoch 136/200, minibatch 14/14, validation error 62.666667 %
epoch 137/200, minibatch 14/14, validation error 88.333333 %
epoch 138/200, minibatch 14/14, validation error 62.666667 %
epoch 139/200, minibatch 14/14, validation error 62.666667 %
epoch 140/200, minibatch 14/14, validation error 62.666667 %
epoch 141/200, minibatch 14/14, validation error 88.666667 %
epoch 142/200, minibatch 14/14, validation error 76.666667 %
epoch 143/200, minibatch 14/14, validation error 88.666667 %
epoch 144/200, minibatch 14/14, validation error 88.666667 %
epoch 145/200, minibatch 14/14, validation error 76.666667 %
epoch 146/200, minibatch 14/14, validation error 88.666667 %
epoch 147/200, minibatch 14/14, validation error 88.666667 %
epoch 148/200, minibatch 14/14, validation error 88.666667 %
epoch 149/200, minibatch 14/14, validation error 62.666667 %
epoch 150/200, minibatch 14/14, validation error 92.000000 %
epoch 151/200, minibatch 14/14, validation error 62.666667 %
epoch 152/200, minibatch 14/14, validation error 62.666667 %
epoch 153/200, minibatch 14/14, validation error 62.666667 %
epoch 154/200, minibatch 14/14, validation error 92.000000 %
epoch 155/200, minibatch 14/14, validation error 62.666667 %
epoch 156/200, minibatch 14/14, validation error 92.000000 %
epoch 157/200, minibatch 14/14, validation error 76.666667 %
epoch 158/200, minibatch 14/14, validation error 62.666667 %
epoch 159/200, minibatch 14/14, validation error 62.666667 %
epoch 160/200, minibatch 14/14, validation error 88.333333 %
epoch 161/200, minibatch 14/14, validation error 88.666667 %
epoch 162/200, minibatch 14/14, validation error 88.666667 %
epoch 163/200, minibatch 14/14, validation error 88.666667 %
epoch 164/200, minibatch 14/14, validation error 62.666667 %
epoch 165/200, minibatch 14/14, validation error 62.666667 %
epoch 166/200, minibatch 14/14, validation error 62.666667 %
epoch 167/200, minibatch 14/14, validation error 88.666667 %
epoch 168/200, minibatch 14/14, validation error 62.666667 %
epoch 169/200, minibatch 14/14, validation error 88.666667 %
epoch 170/200, minibatch 14/14, validation error 62.666667 %
epoch 171/200, minibatch 14/14, validation error 62.666667 %
epoch 172/200, minibatch 14/14, validation error 88.666667 %
epoch 173/200, minibatch 14/14, validation error 62.666667 %
epoch 174/200, minibatch 14/14, validation error 62.666667 %
epoch 175/200, minibatch 14/14, validation error 62.666667 %
epoch 176/200, minibatch 14/14, validation error 96.666667 %
epoch 177/200, minibatch 14/14, validation error 76.666667 %
epoch 178/200, minibatch 14/14, validation error 62.666667 %
epoch 179/200, minibatch 14/14, validation error 88.666667 %
epoch 180/200, minibatch 14/14, validation error 76.666667 %
epoch 181/200, minibatch 14/14, validation error 62.666667 %
epoch 182/200, minibatch 14/14, validation error 88.333333 %
epoch 183/200, minibatch 14/14, validation error 92.000000 %
epoch 184/200, minibatch 14/14, validation error 88.666667 %
epoch 185/200, minibatch 14/14, validation error 76.666667 %
epoch 186/200, minibatch 14/14, validation error 62.666667 %
epoch 187/200, minibatch 14/14, validation error 99.000000 %
epoch 188/200, minibatch 14/14, validation error 62.666667 %
epoch 189/200, minibatch 14/14, validation error 97.666667 %
epoch 190/200, minibatch 14/14, validation error 62.666667 %
epoch 191/200, minibatch 14/14, validation error 76.666667 %
epoch 192/200, minibatch 14/14, validation error 76.666667 %
epoch 193/200, minibatch 14/14, validation error 62.666667 %
epoch 194/200, minibatch 14/14, validation error 88.666667 %
epoch 195/200, minibatch 14/14, validation error 88.666667 %
epoch 196/200, minibatch 14/14, validation error 62.666667 %
epoch 197/200, minibatch 14/14, validation error 88.666667 %
epoch 198/200, minibatch 14/14, validation error 62.666667 %
epoch 199/200, minibatch 14/14, validation error 76.666667 %
Score for Protists: 5.70863572967
Training for Crustaceans
epoch 0/200, minibatch 2/2, validation error nan %
epoch 1/200, minibatch 2/2, validation error nan %
epoch 2/200, minibatch 2/2, validation error nan %
epoch 3/200, minibatch 2/2, validation error nan %
epoch 4/200, minibatch 2/2, validation error nan %
epoch 5/200, minibatch 2/2, validation error nan %
epoch 6/200, minibatch 2/2, validation error nan %
epoch 7/200, minibatch 2/2, validation error nan %
epoch 8/200, minibatch 2/2, validation error nan %
